Source,Year,Month,Jobs,Labour,Parts,SubLet,Misc,Tax,Total Inc Tax,Ex Tax
Garage Partner,2022,1,320,61644.00,25326.63,0.00,1471.26,11495.17,98465.80,86970.63
Garage Partner,2022,2,168,35037.79,13704.33,0.00,785.78,6435.51,55177.63,48742.12
Garage Partner,2022,4,527,124020.17,52782.06,0.00,2501.96,23308.71,200110.94,176802.23
Garage Partner,2022,5,277,58731.34,30161.48,0.00,1309.81,11725.17,100617.99,88892.82
Garage Partner,2022,6,178,58204.18,21746.78,0.00,848.97,10503.79,90454.75,79950.96
Garage Partner,2022,7,198,61827.12,20637.89,0.00,910.93,10838.76,93303.77,82465.01
Garage Partner,2022,9,328,107302.87,39714.17,0.00,1538.92,19311.93,166328.97,147017.04
Garage Partner,2022,10,201,74637.54,18840.71,0.00,972.31,12278.31,105756.56,93478.25
Garage Partner,2022,11,386,96607.53,34126.83,0.00,1850.95,17235.35,147969.71,130734.36
Garage Partner,2022,12,192,51175.72,17310.65,0.00,904.88,9020.62,77506.99,68486.37
Garage Partner,2023,1,139,43738.34,17150.96,0.00,728.50,8010.19,68899.49,60889.30
Garage Partner,2023,2,128,45536.48,17210.75,0.00,882.65,8271.74,71018.97,62747.23
Garage Partner,2023,3,167,55571.89,29504.55,0.00,1150.38,11209.32,96285.76,85076.44
